['6086', '2100 N (SR-194)', 'Redwood Rd (SR-68)', '10.212.18.29\n'],,Missing map
['6087', '400 N', 'Redwood Rd (SR-68)', '10.168.6.100\n'],,Not online
['6090', 'Timpanogos Hwy (SR-92 / 11000 N)', 'Traverse Mtn (Triumph)', '10.212.20.171\n'],,Sketchy map
['6301', '800 N (SR-52)', '800 W', '10.163.7.76\n'],,Not online
['6302', '800 N (SR-52)', '400 W', '10.163.7.88\n'],,IP takes me to Sensys Network Ethernet Access Point
['6306', '800 N (SR-52)', '800 E', '10.163.5.52\n'],,Not online
['6307', '800 N (SR-52)', 'Palisade Dr', '10.163.5.64\n'],,Not online
['6309', 'Center St', 'Geneva Rd (SR-114)', '10.163.8.28\n'],,Done
['6312', '400 S', 'Geneva Rd (SR-114)', '10.163.8.40\n'],,Done
['6314', '800 S', 'State St (US-89)', '10.164.6.180\n'],,Done
['6323', '1200 S', 'State St (US-89)', '10.164.6.52\n'],,Not online
['6326', '1600 S', 'State St (US-89)', '10.164.6.88\n'],,not online
['6327', 'Columbia Ln', 'State St (US-89)', '10.164.6.100\n'],,not online
['6394', '1200 N', 'State St (US-89)', '10.165.5.228\n'],,not online
['6397', '800 N (SR-52)', 'I-15 SPUI', '10.163.7.28\n'],,Done
['6399', '800 N (SR-52)', '980 W', '10.163.7.52\n'],,Not online
['6525', '800 S', '400 E', '10.164.6.168\n'],,not online
['6526', '800 S', '700 E', '10.164.6.156\n'],,not online
['6527', '800 S', '800 E', '10.164.6.144\n'],,not online
['6528', '1000 S', '800 E', '10.164.5.204\n'],,not online
['6530', '1200 S', '800 E', '10.164.5.180\n'],,not online
['6532', '800 S', '1200 W', '10.210.237.16\n'],,not online
['6560', '800 S', 'College Campus Dr', '10.210.236.16\n'],,not online
