,,,MAP file uploaded,Map all lanes,
,,,,,
6011,Timpanogos Hwy (SR-92),I-15 Ramps/Fr Rds,FALSE,FALSE,10.212.5.28
6012,Timpanogos Hwy (SR-92),Digital Dr,TRUE,TRUE,10.212.20.147
6014,Parkway Blvd,Redwood Rd (SR-68),FALSE,FALSE,10.168.8.204
6016,US-89 (State St),300 E,TRUE,TRUE,10.161.5.192
6017,1500 N,State St (US-89),TRUE,TRUE,10.161.6.168
6018,Pioneer Crossing (SR-145),Center St,TRUE,TRUE,10.168.5.156
6020,SR-73 (Main),US-89 (State St),TRUE,TRUE,10.161.6.100
6021,US-89 (State St),900 W,TRUE,TRUE,10.161.6.88
6022,Pacific Dr,US-89,TRUE,TRUE,10.161.6.16
6023,Main St (SR-145 / US-89),US-89 (State St),TRUE,TRUE,10.161.6.28
6024,Main St (US-89),Center St,TRUE,TRUE,10.161.5.52
6025,Main St (US-89),100 E (SR-74),TRUE,TRUE,10.161.5.40
6026,US-89 (State St),500 E (SR-180),TRUE,TRUE,10.161.5.156
6027,US-89 (State St),700 E,TRUE,TRUE,10.161.5.144
6028,US-89 (State St),1100 E (AF) / 2000 W (PG) (North County Blvd / SR-129),TRUE,TRUE,10.162.11.144
6032,Pioneer Crossing (SR-145),1100 W / 8730 W,TRUE,TRUE,10.168.6.112
6035,Pioneer Crossing (SR-145),Mill Pond Rd,TRUE,TRUE,10.168.5.204
6036,Pioneer Crossing (SR-145),500 W,TRUE,TRUE,10.168.5.144
6037,Pioneer Crossing (SR-145),1700 W,TRUE,TRUE,10.168.6.64
6038,Pioneer Crossing (SR-145),2300 W (9550 W),TRUE,TRUE,10.168.6.88
6039,Pioneer Crossing (SR-145),Redwood Rd (SR-68),FALSE,FALSE,10.168.6.19
6061,State St (US-89),500 W,TRUE,TRUE,10.161.6.180
6065,US-89 (State St),300 W,TRUE,TRUE,10.161.6.156
6066,US-89 (State St),850 E,TRUE,TRUE,10.212.12.64
6067,US-89 (State St),100 E,TRUE,TRUE,10.161.6.144
6074,Main St (US-89),300 W,TRUE,TRUE,10.161.7.16
6078,Pony Express Pkwy,Redwood Rd (SR-68),TRUE,TRUE,10.168.8.16
6079,Ring Rd,Redwood Rd (SR-68),FALSE,FALSE,10.168.8.168
6080,Crossroads Blvd,Redwood Rd (SR-68),TRUE,TRUE,10.168.6.193
6081,Commerce Dr / Exchange Dr (1575 N),Redwood Rd (SR-68),TRUE,TRUE,10.168.6.180
6082,Harvest Hills Blvd (2020 N),Redwood Rd (SR-68),TRUE,TRUE,10.168.6.168
6086,2100 N (SR-194),Redwood Rd (SR-68),TRUE,FALSE,10.212.18.29
6087,400 N,Redwood Rd (SR-68),TRUE,FALSE,10.168.6.100
6090,Timpanogos Hwy (SR-92 / 11000 N),Traverse Mtn (Triumph),TRUE,FALSE,10.212.20.171
6091,Timpanogos Hwy (SR-92 / 11000 N),1200 W (Morning Vista),TRUE,TRUE,10.212.20.180
6092,Timpanogos Hwy (SR-92 / 11000 N),Center St,TRUE,TRUE,10.212.20.196
6093,Timpanogos Hwy (SR-92 / 11000 N),1200 E (Micron),TRUE,TRUE,10.212.23.147
6094,Timpanogos Hwy (SR-92 / 11000 N),Highland Blvd,TRUE,TRUE,10.212.23.156
6095,Timpanogos Hwy (SR-92 / 11000 N),6000 W,TRUE,TRUE,10.212.21.16
6096,Timpanogos Hwy (SR-92 / 11000 N),6400 W,TRUE,TRUE,10.212.21.28
6097,Timpanogos Hwy (SR-92 / 11000 N),5300 W (Alpine Hwy / SR-74),TRUE,TRUE,10.212.21.52
6098,Timpanogos Hwy (SR-92 / 11000 N),4800 W (North County Blvd / SR-129),TRUE,TRUE,10.162.11.216
6099,Grandview Blvd,Redwood Rd (SR-68),TRUE,TRUE,10.168.8.156
6131,US-89 (State St),Geneva / Main St (SR-114),TRUE,TRUE,10.165.5.40
6132,Pleasant Grove Blvd,US-89 (State St),TRUE,TRUE,10.165.6.144
6133,700 N (Lindon) / 1000 S (PG) (SR-129),State St (US-89),TRUE,TRUE,10.165.5.156
6134,US-89 (State St),1300 W,TRUE,TRUE,10.165.6.156
6137,400 N,US-89 (State St),TRUE,TRUE,10.165.5.180
6139,700 S / 300 E,US-89 (State St),TRUE,TRUE,10.165.5.144
6141,600 N,State St (US-89),TRUE,TRUE,10.165.5.168
6142,US-89 (State St),100 E,TRUE,TRUE,10.165.5.28
6147,Center St,State St (US-89),TRUE,TRUE,10.165.5.192
6192,200 S/220 S,State St (US-89),TRUE,TRUE,10.165.6.168
6198,Medical Dr (1140 N),Redwood Rd (SR-68),FALSE,FALSE,10.168.8.216
6200,Fairway Blvd,Redwood Rd (SR-68),FALSE,FALSE,10.168.8.180
6201,Stillwater Dr,Redwood Rd (SR-68),FALSE,FALSE,10.168.8.192
6202,Market St,Redwood Rd (SR-68),TRUE,TRUE,10.168.8.144
6206,Pioneer Crossing (SR-145),Riverside Dr,FALSE,FALSE,10.168.6.28
6301,800 N (SR-52),800 W,TRUE,FALSE,10.163.7.76
6302,800 N (SR-52),400 W,TRUE,FALSE,10.163.7.88
6303,800 N (SR-52),State St (US-89),TRUE,TRUE,10.163.5.16
6304,800 N (SR-52),Main St,TRUE,TRUE,10.163.5.28
6305,800 N (SR-52),400 E,TRUE,TRUE,10.163.5.40
6306,800 N (SR-52),800 E,TRUE,FALSE,10.163.5.52
6307,800 N (SR-52),Palisade Dr,TRUE,FALSE,10.163.5.64
6308,400 N,State St (US-89),FALSE,FALSE,10.163.7.180
6309,Center St,Geneva Rd (SR-114),TRUE,FALSE,10.163.8.28
6310,Center St,I-15 SPUI,TRUE,TRUE,10.163.8.16
6311,Center St,State St (US-89),TRUE,TRUE,10.164.6.16
6312,400 S,Geneva Rd (SR-114),TRUE,FALSE,10.163.8.40
6313,400 S,State St (US-89),TRUE,TRUE,10.164.6.28
6314,800 S,State St (US-89),TRUE,FALSE,10.164.6.180
6323,1200 S,State St (US-89),TRUE,FALSE,10.164.6.52
6324,University Pkwy (SR-265),State St (US-89),FALSE,FALSE,10.164.6.76
6326,1600 S,State St (US-89),TRUE,FALSE,10.164.6.88
6327,Columbia Ln,State St (US-89),TRUE,FALSE,10.164.6.100
6329,800 S,Geneva Rd (SR-114),TRUE,TRUE,10.163.8.88
6375,1000 S (UVU Events Center),1200 W,TRUE,TRUE,10.162.13.17
6387,1600 N (SR-241),1200 W,TRUE,TRUE,10.163.6.52
6388,1600 N (SR-241),800 W,TRUE,TRUE,10.163.6.64
6389,2000 N,State St (US-89),TRUE,TRUE,10.165.5.204
6390,1600 N (SR-241),Geneva Rd (SR-114),TRUE,TRUE,10.163.6.16
6391,1600 N (SR-241),I-15 SB Ramps,TRUE,TRUE,10.163.6.28
6392,1600 N (SR-241),I-15 NB Off-ramp/Lindon Pkwy,TRUE,TRUE,10.163.6.40
6393,1600 N,State St (US-89),TRUE,TRUE,10.165.5.216
6394,1200 N,State St (US-89),TRUE,FALSE,10.165.5.228
6395,800 N (SR-52) / Vineyard Connector (SR-176),Geneva Rd (SR-114),TRUE,TRUE,10.163.7.16
6397,800 N (SR-52),I-15 SPUI,TRUE,FALSE,10.163.7.28
6398,800 N (SR-52),1200 W,TRUE,TRUE,10.163.7.40
6399,800 N (SR-52),980 W,TRUE,FALSE,10.163.7.52
6423,4800 N (Orem Center St),University Ave (US-189),TRUE,TRUE,10.166.12.156
6425,SR-52-Orem 800 N,University Ave (US-189),TRUE,TRUE,10.166.12.217
6442,100 N,500 W (US-89),FALSE,FALSE,10.166.11.100
6443,500 N,500 W (US-89),FALSE,FALSE,10.166.11.88
6444,800 N,500 W (US-89),FALSE,FALSE,10.166.11.144
6445,940 N,500 W (US-89),FALSE,FALSE,10.166.11.156
6446,1230 N (Bulldog) / Columbia Ln,500 W (US-89),FALSE,FALSE,10.166.11.168
6447,Riverside Ave,State St (US-89),TRUE,TRUE,10.166.11.180
6448,1720 N,State St (US-89),TRUE,TRUE,10.166.11.192
6449,950 W/1850 N,State St (US-89),TRUE,TRUE,10.166.11.228
6502,1600 N,400 W,FALSE,FALSE,10.163.6.144
6503,1600 N,Main St,FALSE,FALSE,10.163.6.156
6504,1600 N,400 E,FALSE,FALSE,10.163.6.168
6505,1200 N,400 E,FALSE,FALSE,10.163.6.180
6506,1200 N,800 E,FALSE,FALSE,10.163.6.192
6507,400 N,1200 W,FALSE,FALSE,10.163.7.144
6508,400 N,800 W,FALSE,FALSE,10.163.7.156
6509,400 N,400 W,FALSE,FALSE,10.163.7.192
6510,400 N,Orem Blvd,FALSE,FALSE,10.163.7.168
6511,Center St,1200 W,FALSE,FALSE,10.163.5.216
6512,Center St,800 W,FALSE,FALSE,10.163.5.192
6513,Center St,640 W,FALSE,FALSE,10.163.5.180
6514,Center St,400 W,FALSE,FALSE,10.163.5.168
6515,Center St,220 W,FALSE,FALSE,10.163.5.156
6516,Center St,Orem Blvd,FALSE,FALSE,10.163.5.144
6517,Center St,400 E,FALSE,FALSE,10.164.5.144
6518,Center St,800 E,FALSE,FALSE,10.164.5.156
6519,400 S,1200 W,FALSE,FALSE,10.163.8.76
6520,400 S,Orem Blvd,FALSE,FALSE,10.164.6.40
6521,400 S,800 E,FALSE,FALSE,10.164.5.168
6522,800 S,400 W,FALSE,FALSE,10.164.6.216
6523,800 S,Main St,FALSE,FALSE,10.164.6.204
6524,800 S,Orem Blvd,TRUE,TRUE,10.164.6.192
6525,800 S,400 E,TRUE,FALSE,10.164.6.168
6526,800 S,700 E,TRUE,FALSE,10.164.6.156
6527,800 S,800 E,TRUE,FALSE,10.164.6.144
6528,1000 S,800 E,TRUE,FALSE,10.164.5.204
6529,1200 S,Orem Blvd,TRUE,TRUE,10.164.6.64
6530,1200 S,800 E,TRUE,FALSE,10.164.5.180
6532,800 S,1200 W,TRUE,FALSE,10.210.237.16
6534,960 S,400 W,FALSE,FALSE,
6560,800 S,College Campus Dr,TRUE,FALSE,10.210.236.16
,,,,,
